iter	Passed	Remaining
0	96	96152
1	167	83547
2	225	74818
3	271	67574
4	321	64000
5	367	60858
6	427	60694
7	500	62113
8	552	60795
9	602	59613
10	654	58889
11	709	58401
12	776	58981
13	851	59965
14	916	60161
15	975	59996
16	1028	59490
17	1084	59164
18	1137	58730
19	1190	58347
20	1271	59290
21	1323	58826
22	1376	58454
23	1431	58222
24	1482	57822
25	1535	57513
26	1584	57086
27	1667	57894
28	1730	57946
29	1783	57668
30	1831	57247
31	1888	57133
32	1943	56965
33	2009	57079
34	2079	57326
35	2130	57037
36	2184	56859
37	2241	56745
38	2295	56553
39	2374	56977
40	2488	58203
41	2554	58262
42	2613	58174
43	2667	57953
44	2719	57703
45	2781	57680
46	2835	57494
47	2912	57763
48	2963	57524
49	3018	57356
50	3069	57121
51	3124	56953
52	3173	56699
53	3239	56750
54	3308	56841
55	3368	56777
56	3418	56561
57	3470	56364
58	3526	56237
59	3578	56055
60	3649	56176
61	3708	56112
62	3765	55998
63	3821	55893
64	3872	55706
65	3925	55546
66	3974	55347
67	4059	55642
68	4116	55540
69	4153	55181
70	4204	55017
71	4254	54836
72	4322	54892
73	4379	54801
74	4451	54897
75	4513	54873
76	4567	54756
77	4617	54579
78	4669	54436
79	4724	54328
80	4772	54150
81	4831	54087
82	4901	54149
83	4950	53986
84	5001	53841
85	5051	53691
86	5105	53575
87	5152	53397
88	5201	53243
89	5283	53425
90	5336	53302
91	5392	53221
92	5448	53136
93	5497	52990
94	5548	52854
95	5598	52716
96	5679	52875
97	5732	52764
98	5785	52654
99	5836	52530
100	5899	52511
101	5950	52390
102	5998	52235
103	6075	52342
104	6129	52248
105	6180	52126
106	6228	51985
107	6283	51899
108	6334	51781
109	6389	51694
110	6460	51744
111	6516	51667
112	6571	51584
113	6617	51427
114	6676	51381
115	6729	51282
116	6781	51177
117	6853	51223
118	6926	51281
119	6977	51169
120	7031	51083
121	7083	50976
122	7134	50869
123	7188	50780
124	7265	50857
125	7329	50843
126	7378	50720
127	7432	50632
128	7483	50530
129	7535	50428
130	7592	50365
131	7655	50337
132	7737	50437
133	7789	50342
134	7842	50250
135	7902	50205
136	7957	50129
137	8008	50024
138	8079	50045
139	8142	50020
140	8195	49925
141	8249	49847
142	8304	49770
143	8356	49675
144	8408	49583
145	8495	49690
146	8547	49597
147	8601	49518
148	8662	49474
149	8711	49367
150	8767	49296
151	8829	49259
152	8904	49293
153	8959	49221
154	9016	49152
155	9070	49073
156	9120	48972
157	9170	48873
158	9238	48863
159	9313	48894
160	9363	48794
161	9416	48710
162	9466	48611
163	9520	48529
164	9577	48468
165	9627	48371
